target_name,target_accession,tlen,query_name,query_accession,query_len,full_evalue,full_score,full_bias,domain_num,domain_total,domain_c_evalue,domain_i_evalue,domain_score,domain_bias,hmm_coord_from,hmm_coord_to,ali_coord_from,ali_coord_to,env_coord_from,env_coord_to,accuracy,description,full_query_name
FDX-ACB,PF03147.10,94,Transcript_2922,-,269,7.2e-27,93.5,0.0,1,1,2e-30,1.6e-26,92.4,0.0,0,94,510,804,510,804,0.99,Ferredoxin-fold anticodon binding domain,Transcript_2922.p1
SSB,PF00436.21,104,Transcript_2924,-,136,4.6e-20,71.5,0.0,1,1,3.9e-24,6.3e-20,71.0,0.0,1,103,57,345,54,348,0.97,Single-strand binding protein family,Transcript_2924.p1
Exo_endo_phos,PF03372.19,239,Transcript_2925,-,465,6.4e-22,78.5,0.0,1,1,6.2e-26,1e-21,77.8,0.0,79,239,63,618,15,618,0.81,Endonuclease/Exonuclease/phosphatase family,Transcript_2925.p1
Metallophos,PF00149.24,197,Transcript_2927,-,369,2e-32,113.1,0.7,1,1,1.8e-36,2.9e-32,112.6,0.7,1,194,129,744,126,753,0.87,Calcineurin-like phosphoesterase,Transcript_2927.p1
LSM,PF01423.18,67,Transcript_2929,-,95,3.1e-15,55.5,0.1,1,1,2.3e-19,3.7e-15,55.2,0.1,0,66,54,273,54,276,0.96,LSM domain,Transcript_2929.p2
FTHFS,PF01268.15,550,Transcript_2930,-,947,2.7e-249,827.8,1.0,1,1,7.5e-253,4e-249,827.3,1.0,1,550,963,2838,960,2838,0.98,Formate--tetrahydrofolate ligase,Transcript_2930.p1
THF_DHG_CYH_C,PF02882.15,160,Transcript_2930,-,947,1.8e-59,199.5,0.3,1,2,3.3e-63,1.8e-59,199.5,0.3,1,159,375,897,372,900,0.94,"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain",Transcript_2930.p1
THF_DHG_CYH_C,PF02882.15,160,Transcript_2930,-,947,1.8e-59,199.5,0.3,2,2,0.13,690.0,-0.7,0.2,129,155,1131,1209,1116,1218,0.86,"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain",Transcript_2930.p1
THF_DHG_CYH,PF00763.19,116,Transcript_2930,-,947,1.7e-37,128.1,0.0,1,2,1.4e-40,7.3e-37,126.1,0.0,0,116,12,366,12,366,0.98,"Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain",Transcript_2930.p1
THF_DHG_CYH,PF00763.19,116,Transcript_2930,-,947,1.7e-37,128.1,0.0,2,2,0.64,3400.0,-1.8,0.0,50,92,1008,1134,996,1158,0.8,"Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain",Transcript_2930.p1
MIP,PF00230.16,227,Transcript_2932,-,659,2.1e-85,285.9,9.4,1,1,1.8e-89,2.8e-85,285.5,9.4,1,227,699,1548,696,1548,0.96,Major intrinsic protein,Transcript_2932.p1
MutS_V,PF00488.17,235,Transcript_2933,-,456,6.7e-94,313.8,0.0,1,1,1.3e-97,1.1e-93,313.1,0.0,0,219,678,1368,678,1368,0.97,MutS domain V,Transcript_2933.p1
MutS_IV,PF05190.14,92,Transcript_2933,-,456,3.4e-20,72.1,1.2,1,1,8.3e-24,6.8e-20,71.2,1.2,0,91,240,528,240,531,0.97,MutS family domain IV,Transcript_2933.p1
Phosphorylase,PF00343.16,709,Transcript_2935,-,903,0.0,1033.4,0.0,1,1,0.0,0.0,1033.1,0.0,0,709,492,2697,492,2697,0.95,Carbohydrate phosphorylase,Transcript_2935.p1
LCAT,PF02450.11,392,Transcript_2936,-,267,4.8e-66,223.4,0.2,1,1,3.4e-70,5.5e-66,223.2,0.2,192,391,3,687,0,690,0.95,Lecithin:cholesterol acyltransferase,Transcript_2936.p1
GSH_synth_ATP,PF03917.13,363,Transcript_2937,-,492,8.1e-128,426.1,0.1,1,1,1.1e-131,9.2e-128,425.9,0.1,1,363,24,1470,21,1470,0.95,"Eukaryotic glutathione synthase, ATP binding domain",Transcript_2937.p1
GSH_synthase,PF03199.11,103,Transcript_2937,-,492,7.7e-31,106.5,0.1,1,2,1.4,11000.0,-3.3,0.0,13,43,393,483,384,531,0.73,Eukaryotic glutathione synthase,Transcript_2937.p1
GSH_synthase,PF03199.11,103,Transcript_2937,-,492,7.7e-31,106.5,0.1,2,2,2.4e-34,2e-30,105.2,0.0,1,102,654,960,651,963,0.95,Eukaryotic glutathione synthase,Transcript_2937.p1
EI24,PF07264.7,178,Transcript_2937,-,343,9.4e-10,38.8,11.0,1,1,8.5e-14,1.4e-09,38.3,11.0,0,176,273,954,273,957,0.62,Etoposide-induced protein 2.4 (EI24),Transcript_2937.p2
OTU,PF02338.15,127,Transcript_2938,-,302,2.6e-08,34.3,0.0,1,1,2.6e-12,4.3e-08,33.6,0.0,4,86,354,600,345,711,0.8,OTU-like cysteine protease,Transcript_2938.p1
PMM,PF03332.9,221,Transcript_2938,-,255,9.5e-116,385.1,0.4,1,1,6.7e-120,1.1e-115,384.9,0.4,0,220,102,759,102,762,0.99,Eukaryotic phosphomannomutase,Transcript_2938.p2
DUF1640,PF07798.7,175,Transcript_2938,-,213,1.1e-52,178.5,9.0,1,1,8.4e-57,1.4e-52,178.2,9.0,2,175,111,633,108,633,0.98,Protein of unknown function (DUF1640),Transcript_2938.p3
Rad51,PF08423.7,256,Transcript_2939,-,401,1.8e-136,453.1,0.0,1,1,5.7e-140,2.3e-136,452.8,0.0,1,255,423,1185,420,1188,0.99,Rad51,Transcript_2939.p1
AAA_25,PF13481.2,194,Transcript_2939,-,401,1.1e-13,51.1,0.0,1,1,4.2e-17,1.7e-13,50.5,0.0,11,189,468,981,438,990,0.74,AAA domain,Transcript_2939.p1
RecA,PF00154.17,263,Transcript_2939,-,401,1.2e-12,47.7,0.0,1,1,7e-16,2.8e-12,46.5,0.0,28,222,462,1089,396,1122,0.74,recA bacterial DNA recombination protein,Transcript_2939.p1
HHH_5,PF14520.2,57,Transcript_2939,-,401,1.1e-08,35.4,0.4,1,1,5.1e-12,2.1e-08,34.5,0.4,4,55,255,408,249,414,0.96,Helix-hairpin-helix domain,Transcript_2939.p1
Aminotran_1_2,PF00155.17,363,Transcript_2940,-,559,1.6e-91,307.0,0.1,1,1,1.2e-95,1.9e-91,306.8,0.1,0,363,432,1635,432,1635,0.97,Aminotransferase class I and II,Transcript_2940.p1
HSP70,PF00012.16,601,Transcript_2941,-,137,2.9e-32,111.5,0.5,1,1,2e-36,3.2e-32,111.3,0.5,0,121,15,411,15,411,0.83,Hsp70 protein,Transcript_2941.p1
SIR2,PF02146.13,177,Transcript_2942,-,504,8.3e-67,224.4,0.0,1,1,1.8e-70,1.5e-66,223.6,0.0,0,177,621,1257,621,1257,0.99,Sir2 family,Transcript_2942.p1
DUF592,PF04574.9,153,Transcript_2942,-,504,1.9e-59,199.7,5.0,1,1,4e-63,3.3e-59,198.9,5.0,4,153,144,621,132,621,0.92,Protein of unknown function (DUF592),Transcript_2942.p1
HLH,PF00010.22,55,Transcript_2942,-,192,1.4e-18,66.4,0.0,1,1,1.3e-22,2.1e-18,65.9,0.0,2,55,81,333,75,333,0.97,Helix-loop-helix DNA-binding domain,Transcript_2942.p2
FSH1,PF03959.9,212,Transcript_2943,-,244,1.4e-64,217.5,0.0,1,1,1e-68,1.6e-64,217.3,0.0,1,211,3,687,0,690,0.95,Serine hydrolase (FSH1),Transcript_2943.p1
Glyco_transf_15,PF01793.12,325,Transcript_2946,-,447,6.3e-136,452.7,10.3,1,1,5e-140,8.1e-136,452.4,10.3,0,325,192,1185,192,1185,0.97,Glycolipid 2-alpha-mannosyltransferase,Transcript_2946.p1
CAF1A,PF12253.4,74,Transcript_2948,-,235,3.1e-07,30.3,12.9,1,1,4.8e-11,7.8e-07,29.1,12.9,30,70,3,132,0,144,0.75,Chromatin assembly factor 1 subunit A,Transcript_2948.p1
Cyclin_N,PF00134.19,127,Transcript_2949,-,217,1.3e-45,154.2,0.0,1,1,1e-49,1.7e-45,153.8,0.0,0,127,105,564,105,564,0.97,"Cyclin, N-terminal domain",Transcript_2949.p1
Pribosyl_synth,PF14572.2,185,Transcript_2950,-,321,1.6e-41,142.3,2.5,1,2,4.4e-07,0.0024,17.8,0.0,0,40,486,606,486,624,0.9,Phosphoribosyl synthetase-associated domain,Transcript_2950.p1
Pribosyl_synth,PF14572.2,185,Transcript_2950,-,321,1.6e-41,142.3,2.5,2,2,1.4e-39,7.4e-36,123.8,2.0,71,185,606,948,591,948,0.97,Phosphoribosyl synthetase-associated domain,Transcript_2950.p1
Pribosyltran_N,PF13793.2,116,Transcript_2950,-,321,2e-38,130.7,0.1,1,2,1.5e-41,8.3e-38,128.8,0.0,1,116,18,369,15,369,0.97,N-terminal domain of ribose phosphate pyrophosphokinase,Transcript_2950.p1
Pribosyltran_N,PF13793.2,116,Transcript_2950,-,321,2e-38,130.7,0.1,2,2,0.32,1700.0,-1.2,0.0,14,58,543,678,519,756,0.59,N-terminal domain of ribose phosphate pyrophosphokinase,Transcript_2950.p1
Pribosyltran,PF00156.23,159,Transcript_2950,-,321,1e-16,60.7,1.1,1,2,0.37,2000.0,-2.0,0.0,42,72,48,135,42,183,0.58,Phosphoribosyl transferase domain,Transcript_2950.p1
Pribosyltran,PF00156.23,159,Transcript_2950,-,321,1e-16,60.7,1.1,2,2,3.9e-20,2.1e-16,59.7,0.7,26,151,486,849,438,870,0.84,Phosphoribosyl transferase domain,Transcript_2950.p1
Glyco_transf_15,PF01793.12,325,Transcript_2952,-,518,7.4e-88,294.8,13.6,1,2,1.5e-61,2.5e-57,194.4,8.3,47,234,240,804,147,894,0.89,Glycolipid 2-alpha-mannosyltransferase,Transcript_2952.p1
Glyco_transf_15,PF01793.12,325,Transcript_2952,-,518,7.4e-88,294.8,13.6,2,2,7.2e-34,1.2e-29,103.5,0.2,249,324,1056,1281,909,1284,0.89,Glycolipid 2-alpha-mannosyltransferase,Transcript_2952.p1
RPAP1_C,PF08620.6,66,Transcript_2953,-,401,2.4e-29,101.1,0.0,1,1,4.8e-33,3.9e-29,100.4,0.0,0,65,747,951,747,954,0.97,"RPAP1-like, C-terminal",Transcript_2953.p1
RPAP1_N,PF08621.6,46,Transcript_2953,-,401,1.2e-17,63.3,1.5,1,1,3.6e-21,2.9e-17,62.0,1.5,0,45,117,252,117,255,0.97,"RPAP1-like, N-terminal",Transcript_2953.p1
Methyltransf_6,PF03737.11,148,Transcript_2954,-,235,2.2e-32,112.1,0.0,1,1,1.7e-36,2.7e-32,111.8,0.0,0,147,33,549,33,552,0.82,Demethylmenaquinone methyltransferase,Transcript_2954.p1
NTF2,PF02136.16,120,Transcript_2954,-,145,2.5e-36,124.7,0.4,1,1,1.9e-40,3e-36,124.4,0.4,1,120,81,420,78,420,0.97,Nuclear transport factor 2 (NTF2) domain,Transcript_2954.p2
Arrestin_C,PF02752.18,137,Transcript_2957,-,703,2.8e-13,50.2,11.6,1,2,1.8e-17,2.9e-13,50.2,8.1,0,136,507,1386,507,1389,0.72,"Arrestin (or S-antigen), C-terminal domain",Transcript_2957.p1
Arrestin_C,PF02752.18,137,Transcript_2957,-,703,2.8e-13,50.2,11.6,2,2,0.47,7600.0,-3.0,0.1,82,104,1893,1962,1788,1983,0.59,"Arrestin (or S-antigen), C-terminal domain",Transcript_2957.p1
Got1,PF04178.8,113,Transcript_2957,-,216,4.4e-34,117.2,17.8,1,1,2.7e-38,4.4e-34,117.2,17.8,1,112,270,603,267,606,0.98,Got1/Sft2-like family,Transcript_2957.p2
PALP,PF00291.21,293,Transcript_2958,-,370,4.7e-64,216.5,0.0,1,1,3.5e-68,5.6e-64,216.2,0.0,3,293,36,978,27,978,0.91,Pyridoxal-phosphate dependent enzyme,Transcript_2958.p1
Glyco_transf_15,PF01793.12,325,Transcript_2959,-,443,4.5e-136,453.2,10.8,1,1,3.6e-140,5.9e-136,452.8,10.8,8,324,237,1167,204,1170,0.95,Glycolipid 2-alpha-mannosyltransferase,Transcript_2959.p1
Stb3,PF10330.5,90,Transcript_2960,-,505,2.9e-31,107.2,0.0,1,1,3.7e-35,6.1e-31,106.2,0.0,0,86,99,336,87,348,0.9,Putative Sin3 binding protein,Transcript_2960.p1
Mito_carr,PF00153.23,97,Transcript_2961,-,315,6.5e-30,102.8,2.4,1,3,5.3e-09,8.6e-05,22.2,0.0,7,82,63,270,45,309,0.78,Mitochondrial carrier protein,Transcript_2961.p1
Mito_carr,PF00153.23,97,Transcript_2961,-,315,6.5e-30,102.8,2.4,2,3,2.5e-11,4e-07,29.7,0.3,4,91,327,594,315,612,0.75,Mitochondrial carrier protein,Transcript_2961.p1
Mito_carr,PF00153.23,97,Transcript_2961,-,315,6.5e-30,102.8,2.4,3,3,1.8e-17,3e-13,49.4,0.0,2,94,636,909,630,918,0.9,Mitochondrial carrier protein,Transcript_2961.p1
Rap1-DNA-bind,PF09197.6,108,Transcript_2963,-,293,1.4e-47,160.6,2.8,1,2,0.0034,55.0,4.3,0.1,62,80,0,54,0,90,0.87,"Rap1, DNA-binding",Transcript_2963.p1
Rap1-DNA-bind,PF09197.6,108,Transcript_2963,-,293,1.4e-47,160.6,2.8,2,2,1.9e-50,3.1e-46,156.3,0.7,0,108,156,552,156,552,0.99,"Rap1, DNA-binding",Transcript_2963.p1
CH,PF00307.27,99,Transcript_2965,-,643,2.8e-69,229.4,0.3,1,4,1.7e-20,2.8e-16,59.5,0.0,1,99,417,762,414,762,0.92,Calponin homology (CH) domain,Transcript_2965.p1
CH,PF00307.27,99,Transcript_2965,-,643,2.8e-69,229.4,0.3,2,4,5e-25,8.1e-21,74.0,0.1,1,99,861,1155,858,1155,0.97,Calponin homology (CH) domain,Transcript_2965.p1
CH,PF00307.27,99,Transcript_2965,-,643,2.8e-69,229.4,0.3,3,4,1.9e-18,3e-14,52.9,0.0,3,99,1239,1548,1230,1548,0.91,Calponin homology (CH) domain,Transcript_2965.p1
CH,PF00307.27,99,Transcript_2965,-,643,2.8e-69,229.4,0.3,4,4,6.4e-14,1e-09,38.4,0.0,3,99,1608,1911,1599,1911,0.95,Calponin homology (CH) domain,Transcript_2965.p1
Sec3_C,PF09763.5,700,Transcript_2966,-,503,3.7e-119,399.0,15.6,1,1,2.6e-123,4.2e-119,398.8,15.6,208,700,3,1446,0,1446,0.98,Exocyst complex component Sec3,Transcript_2966.p1
AhpC-TSA,PF00578.17,124,Transcript_2967,-,228,2.6e-26,91.8,0.0,1,1,4.5e-30,3.7e-26,91.3,0.0,0,121,228,591,228,600,0.93,AhpC/TSA family,Transcript_2967.p1
Redoxin,PF08534.6,148,Transcript_2967,-,228,2.9e-20,72.3,0.0,1,1,4.8e-24,3.9e-20,71.9,0.0,2,145,231,642,225,651,0.85,Redoxin,Transcript_2967.p1
TPP1,PF10341.5,108,Transcript_2967,-,94,6e-10,39.0,0.0,1,1,4.6e-14,7.4e-10,38.7,0.0,0,54,57,276,57,279,0.97,"Shelterin complex subunit, TPP1/ACD",Transcript_2967.p2
DUF367,PF04034.9,127,Transcript_2968,-,314,6.4e-51,171.2,0.0,1,1,1.1e-54,8.8e-51,170.8,0.0,0,127,249,630,249,630,0.99,Domain of unknown function (DUF367),Transcript_2968.p1
RLI,PF04068.11,35,Transcript_2968,-,314,4.5e-16,58.2,0.3,1,1,1e-19,8.2e-16,57.4,0.3,0,35,135,240,135,240,0.97,"Possible Fer4-like domain in RNase L inhibitor, RLI",Transcript_2968.p1
Ribosomal_S9,PF00380.15,121,Transcript_2969,-,279,6.6e-43,146.0,0.2,1,1,6.5e-47,1.1e-42,145.4,0.2,0,121,471,834,471,834,1.0,Ribosomal protein S9/S16,Transcript_2969.p1
E1-E2_ATPase,PF00122.16,221,Transcript_2970,-,1092,3.5e-50,170.2,13.8,1,3,2.2e-43,5.9e-40,136.8,0.6,1,131,285,723,282,753,0.96,E1-E2 ATPase,Transcript_2970.p1
E1-E2_ATPase,PF00122.16,221,Transcript_2970,-,1092,3.5e-50,170.2,13.8,2,3,2.6e-13,6.9e-10,38.5,4.6,137,221,828,1074,798,1074,0.91,E1-E2 ATPase,Transcript_2970.p1
E1-E2_ATPase,PF00122.16,221,Transcript_2970,-,1092,3.5e-50,170.2,13.8,3,3,1.0,2800.0,-2.8,0.0,119,160,2373,2496,2364,2577,0.72,E1-E2 ATPase,Transcript_2970.p1
Cation_ATPase_C,PF00689.17,182,Transcript_2970,-,1092,3.9e-28,98.2,0.3,1,3,1.4,3700.0,-2.7,0.4,122,124,258,264,183,402,0.54,"Cation transporting ATPase, C-terminus",Transcript_2970.p1
Cation_ATPase_C,PF00689.17,182,Transcript_2970,-,1092,3.9e-28,98.2,0.3,2,3,0.3,820.0,-0.6,0.6,125,146,852,915,741,1044,0.58,"Cation transporting ATPase, C-terminus",Transcript_2970.p1
Cation_ATPase_C,PF00689.17,182,Transcript_2970,-,1092,3.9e-28,98.2,0.3,3,3,1.4e-31,3.9e-28,98.2,0.3,2,180,2535,3132,2529,3135,0.93,"Cation transporting ATPase, C-terminus",Transcript_2970.p1
Hydrolase,PF00702.22,213,Transcript_2970,-,1092,8.1e-21,75.2,0.0,1,2,0.00037,0.99,9.5,0.0,3,24,1095,1158,1086,1203,0.87,haloacid dehalogenase-like hydrolase,Transcript_2970.p1
Hydrolase,PF00702.22,213,Transcript_2970,-,1092,8.1e-21,75.2,0.0,2,2,1.3e-20,3.5e-17,63.3,0.0,107,213,1911,2307,1419,2307,0.84,haloacid dehalogenase-like hydrolase,Transcript_2970.p1
Cation_ATPase,PF13246.2,93,Transcript_2970,-,1092,9.9e-18,64.0,0.1,1,1,7.4e-21,2e-17,63.1,0.1,1,92,1377,1719,1374,1722,0.88,Cation transport ATPase (P-type),Transcript_2970.p1
HAD,PF12710.3,217,Transcript_2970,-,1092,7.9e-15,55.4,0.2,1,1,1.1e-17,3e-14,53.6,0.2,0,217,1095,2298,1095,2298,0.54,haloacid dehalogenase-like hydrolase,Transcript_2970.p1
Cation_ATPase_N,PF00690.22,69,Transcript_2970,-,1092,3.1e-14,52.3,0.0,1,2,3.5e-17,9.3e-14,50.7,0.0,0,69,48,255,48,255,0.99,"Cation transporter/ATPase, N-terminus",Transcript_2970.p1
Cation_ATPase_N,PF00690.22,69,Transcript_2970,-,1092,3.1e-14,52.3,0.0,2,2,4.6,12000.0,-4.2,0.0,18,27,2136,2163,2121,2166,0.82,"Cation transporter/ATPase, N-terminus",Transcript_2970.p1
SHQ1,PF04925.11,176,Transcript_2971,-,117,1.8e-24,86.1,0.3,1,1,1.5e-28,2.4e-24,85.7,0.3,105,175,0,219,0,222,0.95,SHQ1 protein,Transcript_2971.p1
Mob1_phocein,PF03637.13,164,Transcript_2975,-,300,2.1e-63,213.1,1.1,1,1,2e-67,3.2e-63,212.5,1.1,1,164,336,849,333,849,0.99,Mob1/phocein family,Transcript_2975.p1
TFR_dimer,PF04253.11,119,Transcript_2976,-,657,4.6e-31,107.3,0.0,1,1,1.1e-34,9.2e-31,106.3,0.0,0,118,1542,1938,1542,1941,0.94,Transferrin receptor-like dimerisation domain,Transcript_2976.p1
Peptidase_M28,PF04389.13,198,Transcript_2976,-,657,2.8e-06,27.0,0.0,1,2,0.49,4000.0,-2.9,0.0,146,163,606,657,579,678,0.8,Peptidase family M28,Transcript_2976.p1
Peptidase_M28,PF04389.13,198,Transcript_2976,-,657,2.8e-06,27.0,0.0,2,2,9.4e-10,7.7e-06,25.6,0.0,0,184,813,1350,813,1392,0.73,Peptidase family M28,Transcript_2976.p1
Bax1-I,PF01027.16,207,Transcript_2977,-,298,2e-41,142.0,14.1,1,1,2.1e-45,3.4e-41,141.2,14.1,0,207,141,870,141,870,0.88,Inhibitor of apoptosis-promoting Bax1,Transcript_2977.p1
Pkr1,PF08636.6,74,Transcript_2978,-,123,2e-31,107.8,11.1,1,1,1.4e-35,2.4e-31,107.6,11.1,0,73,3,222,3,225,0.98,ER protein Pkr1,Transcript_2978.p1
AMP-binding_C,PF13193.2,71,Transcript_2981,-,245,2.6e-09,37.8,0.0,1,1,7.8e-13,6.3e-09,36.6,0.0,0,71,234,543,234,543,0.94,AMP-binding enzyme C-terminal domain,Transcript_2981.p1
AMP-binding,PF00501.24,421,Transcript_2981,-,245,3.9e-07,28.9,0.1,1,1,7.4e-11,6e-07,28.3,0.1,390,421,120,213,6,213,0.82,AMP-binding enzyme,Transcript_2981.p1
His_biosynth,PF00977.17,229,Transcript_2983,-,556,2.5e-45,154.6,0.7,1,2,1.2,4700.0,-3.4,0.0,111,154,504,627,456,645,0.61,Histidine biosynthesis protein,Transcript_2983.p1
His_biosynth,PF00977.17,229,Transcript_2983,-,556,2.5e-45,154.6,0.7,2,2,2.9e-48,1.2e-44,152.4,0.2,0,229,723,1605,723,1605,0.88,Histidine biosynthesis protein,Transcript_2983.p1
GATase,PF00117.24,191,Transcript_2983,-,556,9.3e-26,90.6,0.0,1,2,5.4e-29,2.2e-25,89.4,0.0,1,189,24,639,21,645,0.89,Glutamine amidotransferase class-I,Transcript_2983.p1
GATase,PF00117.24,191,Transcript_2983,-,556,9.3e-26,90.6,0.0,2,2,0.87,3500.0,-2.6,0.0,34,72,1173,1284,1146,1287,0.67,Glutamine amidotransferase class-I,Transcript_2983.p1
SNO,PF01174.15,188,Transcript_2983,-,556,7.6e-08,32.3,0.0,1,2,6.7e-08,0.00027,20.7,0.0,5,102,42,342,27,351,0.79,SNO glutamine amidotransferase family,Transcript_2983.p1
SNO,PF01174.15,188,Transcript_2983,-,556,7.6e-08,32.3,0.0,2,2,0.00022,0.91,9.2,0.0,138,184,489,639,444,648,0.71,SNO glutamine amidotransferase family,Transcript_2983.p1
GATase_3,PF07685.10,159,Transcript_2983,-,556,1e-06,28.5,0.0,1,2,8.1e-10,3.3e-06,26.8,0.0,8,80,135,330,111,366,0.82,CobB/CobQ-like glutamine amidotransferase domain,Transcript_2983.p1
GATase_3,PF07685.10,159,Transcript_2983,-,556,1e-06,28.5,0.0,2,2,0.62,2500.0,-2.1,0.0,132,151,534,588,456,591,0.61,CobB/CobQ-like glutamine amidotransferase domain,Transcript_2983.p1
Fer2_3,PF13085.2,109,Transcript_2984,-,267,2.4e-34,117.5,0.1,1,1,8.1e-38,4.4e-34,116.6,0.1,0,108,102,423,102,426,0.96,2Fe-2S iron-sulfur cluster binding domain,Transcript_2984.p1
Fer4_17,PF13534.2,61,Transcript_2984,-,267,1.6e-09,38.1,8.1,1,3,0.73,3900.0,-1.7,0.6,48,52,273,285,105,300,0.65,4Fe-4S dicluster domain,Transcript_2984.p1
Fer4_17,PF13534.2,61,Transcript_2984,-,267,1.6e-09,38.1,8.1,2,3,1.6,8700.0,-2.8,1.4,48,53,273,288,249,357,0.65,4Fe-4S dicluster domain,Transcript_2984.p1
Fer4_17,PF13534.2,61,Transcript_2984,-,267,1.6e-09,38.1,8.1,3,3,2.9e-13,1.6e-09,38.1,8.1,0,61,531,753,531,753,0.81,4Fe-4S dicluster domain,Transcript_2984.p1
Fer4_8,PF13183.2,65,Transcript_2984,-,267,6.7e-08,32.7,8.3,1,2,0.00033,1.8,8.9,11.5,28,63,471,573,249,579,0.59,4Fe-4S dicluster domain,Transcript_2984.p1
Fer4_8,PF13183.2,65,Transcript_2984,-,267,6.7e-08,32.7,8.3,2,2,1.2e-11,6.7e-08,32.7,8.3,1,64,525,747,522,750,0.79,4Fe-4S dicluster domain,Transcript_2984.p1
Sgf11,PF08209.7,33,Transcript_2987,-,100,8e-16,57.2,4.0,1,1,6.7e-20,1.1e-15,56.7,4.0,0,33,198,297,198,297,0.96,Sgf11 (transcriptional regulation protein),Transcript_2987.p1
Skp1_POZ,PF03931.11,63,Transcript_2987,-,100,2.2e-22,78.8,0.3,1,2,2.1e-26,3.3e-22,78.3,0.0,1,62,12,195,9,198,0.97,"Skp1 family, tetramerisation domain",Transcript_2987.p2
Skp1_POZ,PF03931.11,63,Transcript_2987,-,100,2.2e-22,78.8,0.3,2,2,0.54,8700.0,-3.1,0.1,11,15,234,246,210,261,0.5,"Skp1 family, tetramerisation domain",Transcript_2987.p2
MFS_1,PF07690.12,352,Transcript_2988,-,379,6.3e-30,104.2,14.9,1,1,1.3e-33,7.1e-30,104.0,14.9,5,222,432,1119,405,1137,0.85,Major Facilitator Superfamily,Transcript_2988.p1
Sugar_tr,PF00083.20,452,Transcript_2988,-,379,2.9e-12,46.1,6.4,1,2,0.0011,5.8,5.5,1.4,323,376,432,582,381,588,0.57,Sugar (and other) transporter,Transcript_2988.p1
Sugar_tr,PF00083.20,452,Transcript_2988,-,379,2.9e-12,46.1,6.4,2,2,5.3e-16,2.9e-12,46.1,6.4,49,230,519,1056,501,1125,0.8,Sugar (and other) transporter,Transcript_2988.p1
TRI12,PF06609.9,599,Transcript_2988,-,379,5.9e-06,24.9,5.1,1,1,1.4e-09,7.8e-06,24.4,5.1,50,233,423,987,390,1008,0.78,Fungal trichothecene efflux pump (TRI12),Transcript_2988.p1
Sulfate_transp,PF00916.16,381,Transcript_2989,-,182,4.9e-17,61.6,5.4,1,1,3.5e-21,5.7e-17,61.4,5.4,0,103,180,546,180,546,0.88,Sulfate permease family,Transcript_2989.p1
Glyco_transf_8,PF01501.16,256,Transcript_2990,-,428,6.6e-09,35.6,0.3,1,3,4.1e-13,6.6e-09,35.6,0.3,208,255,21,207,0,210,0.82,Glycosyl transferase family 8,Transcript_2990.p1
Glyco_transf_8,PF01501.16,256,Transcript_2990,-,428,6.6e-09,35.6,0.3,2,3,0.055,900.0,-0.9,0.2,209,226,639,690,495,750,0.53,Glycosyl transferase family 8,Transcript_2990.p1
Glyco_transf_8,PF01501.16,256,Transcript_2990,-,428,6.6e-09,35.6,0.3,3,3,0.05,810.0,-0.8,0.2,49,74,645,720,597,915,0.68,Glycosyl transferase family 8,Transcript_2990.p1
Ran_BP1,PF00638.14,122,Transcript_2991,-,727,1.8e-44,150.8,0.1,1,1,5.7e-48,4.6e-44,149.5,0.1,0,122,1809,2172,1809,2172,0.98,RanBP1 domain,Transcript_2991.p1
NUP50,PF08911.7,69,Transcript_2991,-,727,1e-14,54.8,3.8,1,3,1.2e-18,1e-14,54.8,3.8,0,67,21,231,21,237,0.82,NUP50 (Nucleoporin 50 kDa),Transcript_2991.p1
NUP50,PF08911.7,69,Transcript_2991,-,727,1e-14,54.8,3.8,2,3,0.75,6100.0,-2.2,0.4,51,67,720,771,600,780,0.66,NUP50 (Nucleoporin 50 kDa),Transcript_2991.p1
NUP50,PF08911.7,69,Transcript_2991,-,727,1e-14,54.8,3.8,3,3,2.0,16000.0,-6.7,5.9,50,51,1191,1194,993,1293,0.61,NUP50 (Nucleoporin 50 kDa),Transcript_2991.p1
Ctr,PF04145.11,102,Transcript_2992,-,407,1.4e-17,63.8,3.6,1,1,2e-21,3.2e-17,62.7,3.6,0,102,378,843,372,843,0.96,Ctr copper transporter family,Transcript_2992.p1
Opi1,PF08618.6,430,Transcript_2993,-,311,3.5e-20,72.5,2.6,1,1,2.5e-22,4.1e-18,65.7,2.6,224,348,387,831,378,918,0.76,Transcription factor Opi1,Transcript_2993.p1
polyprenyl_synt,PF00348.13,246,Transcript_2994,-,480,6.2e-64,215.5,0.0,1,1,1.4e-67,2.2e-63,213.7,0.0,1,244,237,1299,234,1305,0.93,Polyprenyl synthetase,Transcript_2994.p1
Cyclin_N,PF00134.19,127,Transcript_2995,-,280,3.1e-22,78.6,0.0,1,1,7.4e-26,6e-22,77.7,0.0,0,126,54,453,54,456,0.9,"Cyclin, N-terminal domain",Transcript_2995.p1
Cyclin,PF08613.7,161,Transcript_2995,-,280,1.8e-07,31.5,0.0,1,1,4.8e-11,3.9e-07,30.4,0.0,64,161,159,453,141,453,0.93,Cyclin,Transcript_2995.p1
